comuna,n_estaciones,pct_llena_avg,pct_vacia_avg,pct_llena_max,bikes_avg,docks_avg,pct_criticas
Ñuñoa,20,0.35181058495821727,0.0011142061281337048,0.5013927576601671,13.576740947075209,2.807242339832869,0.0
Providencia,67,0.2696129380950401,0.005862054629360163,0.6323119777158774,14.887041117532116,4.4318380243628654,0.029850746268656716
Independencia,3,0.12070566388115134,0.0,0.14206128133704735,8.347260909935004,5.268337975858867,0.0
Las Condes,95,0.06547427063480428,0.0738014953819088,0.5793871866295265,5.2653863069931095,7.115994722181498,0.0
Otra,1,0.008356545961002786,0.19220055710306408,0.008356545961002786,4.278551532033426,6.690807799442897,0.0
Vitacura,12,0.004178272980501393,0.14740018570102134,0.04456824512534819,5.270659238625812,11.818477251624884,0.0
